stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,1.69,0,0.28,3.38,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,12.12,0,0,2.82,0,2.25,3.95,0.28,0,0,10.71,0,0,0.28,0,1.69,0,0,0
21Day,1.85,1.85,0,1.11,1.11,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,26.27,0,0,21.83,0,1.11,1.85,0.37,0,0,1.85,0.74,0.37,0.37,0.37,0,0,0,0.37
3Month,0.1,8.63,0.1,7.59,0.42,0,0.21,0.42,0.62,1.04,0,0,2.81,1.04,0.21,2.6,0.1,1.46,1.25,19.66,1.46,0,26.11,0.42,0.21,0.1,0.62,0.31,0,0,0.62,9.57,0,0,0.62,3.33,7.18,0.94
22Month,0,9.84,0,4.24,0,0,0.14,0.14,0,0.96,6.42,0,5.19,0.55,0.27,0.96,0.27,1.23,0.55,12.85,0.41,0.27,14.62,0,0.14,0.41,2.73,0.27,0.14,0,0,6.56,0.14,0,0,0.82,0,0.41
