stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,14,44,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,5.36,0.56,0.56,0,0,0,0,0,0,0,0,0,1.13,10.43,0,1.69,0,0,0.28,0,26.49,6.76,0,0.85,5.92,0,0,2.54,1.13,0,0,0
21Day,0,0,6.29,0,0,0,0.37,0,0,0,0,0,0.74,0,3.33,5.92,0.37,2.96,0,0,0.37,0,13.69,0.74,0,3.7,2.59,0.37,2.22,0,0.37,0,0,0.74
3Month,0.1,0.1,5.1,0,0,0.1,0,0.31,0.1,0,2.08,1.04,0,1.04,1.56,9.78,0.31,2.29,0.73,0,0.83,0.1,0.31,0.1,0.1,1.46,0,0.21,4.58,0,0.1,4.37,0.94,0.52
22Month,0,0.14,2.05,0,0,0,0,0,0.14,0.55,6.29,1.09,0.27,0.68,0.27,0.27,0.27,3.01,0.14,0.14,0.14,0,0.27,0,0.27,0.82,0,0.14,3.42,0.41,0,0.68,0,0.14
