stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,2.59,0,0,0,1.85,0,0
3Month,0.1,0.31,0.21,0.83,0.31,0.42,0.1,0,0.1,0.21,0.21,0.1,0.1,0.21,37.65,0.31,25.59
22Month,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,4.78,0,0
