stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,4,0,0,0,0,2,4,0,2,34,0,2,0,0,0,1,0,0
72hpf,0.28,0.28,0,0,0,0.85,0.28,0.85,0,1.13,3.66,0,0.85,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0.37,0.37,0.74,0,0.74,0,0,0.37,0,0,0
3Month,0,0.1,0,0.31,0.1,0,0,0,0,0.1,0,0.1,0,0,1.25,0,0,0.1,0.1
22Month,0,0.14,0.14,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0
