stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,3,0,0,0,1,1,0,3,0,0,0,0,20,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0.56,0,0.28,0.28,0,0,3.66,2.25,0,0,0,0,0,0.56,0,0,0
21Day,0.74,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0,0.31,2.7,0.1,0.1,0,1.25,0.31,1.66,0.52,1.14,0.52,0.31,0,0,0.42,0,0,0.1,0.1,0,0.1,19.45,0.1,0.42,23.82,0.31
22Month,0,0.14,0,0,0.14,0,0.41,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,2.87,0,0,0.14,0
