stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,2,0,0,7,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.85,0.56,0.28,0,0
21Day,0,0.37,0,0,0.37,0.37,1.48,0,0,0.74,1.11,0,0
22Month,0.82,0.14,0.14,0.68,12.3,0,0.82,0.68,0.14,0,0,0.14,0.27
