stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0.56,0,0,0
21Day,0,0,0.37,0.37,0.37,0
3Month,0.1,0,0,0,0,0.1
22Month,0.27,0.14,0,0,0,0
