stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,1,0,0,1,1,0,0,5,0,0
72hpf,0.28,0.28,0,0.28,0.56,0.28,0,7.05,0.56,0.28,0
21Day,1.11,0.74,0.37,0.37,0.74,0.37,1.48,4.81,0.37,0.37,0.74
