stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,10,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.56,0,0,0,0,0,0,0.85,0.28,0,0,1.13,1.69,0,0.28,0,0,0,0
21Day,0.37,0,1.11,0.37,0.37,0.74,0.74,0,0.37,0,0.37,0.37,0,0.37,0,0,0.37,0,0.74,0.37,0,0.37,0
3Month,0,0.1,0,0,0,0,0.52,0,0,0.21,0.1,0.21,0,0.21,0.1,0,0,0.1,0,0.1,0.52,0,2.6
22Month,0,0,0,0,0,0,1.37,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
