stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0,0.85,0,0,0
21Day,0,0,0,0,0.74,0,0,0
3Month,0,0,0.1,0.1,0,0,0.1,0
22Month,0.27,0.14,0,0.14,0,0.14,0,0.14
