stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4,0,0,0,0,1,0,0,0,0
72hpf,2.82,0,0,0,0,6.48,0,0.56,0.56,0.28
21Day,9.99,0,0,0.37,1.11,3.7,0.37,0,0,0
3Month,0.62,0.1,0.1,0,0,0.52,0,0,0,0
