stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,330,37,0,10,0,0,0,0,0,0,0,0,0,0,0,1,4,4,591,0,0,0,0,3,120,0,0,0,36,0,0,0,0,0,0,1,0,0,0
72hpf,131.34,1.69,0,7.61,1.13,9.3,0,0,0,0.28,0,0,0,0.28,0,2.82,12.12,1.69,439.96,0,0,0.85,0.28,55.81,29.31,0.56,0.56,0,214.77,0.28,0,0,4.51,0,0.85,6.48,0,0,0.28
21Day,292.66,0.37,0,14.43,1.11,14.43,1.11,0,0,0,0,0.74,0.37,2.96,1.48,0.37,7.03,1.85,466.92,0.37,0,9.99,0,12.58,5.18,0.74,1.11,0,54.76,16.65,0,0.74,0.74,2.59,5.92,2.22,0,0,1.85
3Month,13.83,6.66,0.52,6.66,0.1,0,0.21,0.21,0.83,3.54,0.31,10.4,1.14,0.31,4.89,0.42,3.33,1.87,47.95,1.04,0.21,0.62,0.52,0.52,1.14,0.42,0.42,0,0.31,0.52,0.1,7.07,0,0,0,0.21,0.83,4.26,1.35
22Month,1.09,1.91,0.27,3.96,0,0,0,0,0.55,0.41,22.68,25.42,0.55,0.27,5.47,0,0.68,1.09,6.01,0,2.87,0.27,0,0.41,0.14,0.41,0.14,0.41,0.14,0.14,0,12.16,0.41,0.14,0,0.14,0.14,0,0
