stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,1,0,2,0,0,0,0,0,0,2,0,1,16,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0.56,0,0.85,0,10.99,2.25,0.28,0,0.28,0
21Day,0,0,0.74,0,0,0.37,0,0,0.37,0.74,0,6.29,0.74,0.37,0,0.37,0
3Month,0,0,0.1,0.1,0,0,0.1,0.1,0.21,0.31,0.1,0,0,0,0,0,0.1
22Month,0,0.14,0,0.14,0.27,0.14,0,0,0,0,0,0,0,0,0.27,0,0
