stage,Cardiomyocyte,Fibroblast,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,1,0,2,1,0,0
72hpf,0,0,0,0.56,1.97,0.56,0.85,1.41,0,0
21Day,0.37,0,0,0,4.07,0.74,0,3.33,0.74,0
3Month,0,0,0,0,0,0,0,0,0,0.21
22Month,0,0.14,0.27,0.14,0.14,0,0,0,0,0
