stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0.28,0,0,0,0,3.38,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,2.22,0,2.22,0,0.37,0,0,0,0,1.85,0,0,0,0.37,0.37,0,0,0
3Month,0,0,0,0.73,0,0,0,0,0,0.1,0,5.93,0.21,0,0.62,2.29,0.31,0.62,0,0,0.1,0.21,0.1,0,0,0.31,0.21,0,0,0,0.21,0.1,0.1
22Month,0,0.14,0.27,0.68,0,0,0.14,0.14,0.27,0.68,0.41,10.66,0.41,0.14,0.82,0,0.55,0.68,0.14,0,0,0,0.14,0.14,0.14,0,0.14,0.14,0,0,0,0,0.14
