stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0.21,0.1,12.17,0,0.1,0.1,0,1.56,0.21,0.1,1.35,0.62,0.42,0.52,0.1,0,0,0.1,0.1,0.1,0,0,0.21,0.21,0.1,0.31
22Month,0.14,0.27,0.41,6.97,0.27,0.14,1.09,0.14,23.91,0.55,0.41,2.32,0.27,0.27,1.37,1.78,0.27,0.27,0,0.27,0.14,0.14,0,0.27,0.14,0,0.68
