stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0.28,0,0.56,0,0,0,0,0,0,0.56,1.97,0,0.56,0.85,0,2.54,2.25,2.54,0,0,0,0.28,0,0,0.56,0,0,0
21Day,0.37,0.37,0,10.73,0,1.11,0.37,0,0,0.37,0,0,3.7,0.37,35.15,1.85,2.96,0,0,2.59,1.48,2.96,1.48,0,0,0.74,0.74,1.11,0,0,0,0.37
3Month,0,0,0,2.5,0,0,0,2.6,1.98,0.62,4.78,0,0.42,0,0.31,0.31,0.62,0,0,0,0,0,0,0.1,0.83,0,0,0,0,0,0.1,0.1
22Month,0,0,0.27,0.27,0,0,0,0.41,2.6,3.01,1.5,0.14,0.27,0,0,0.27,0.27,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0
