stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,1.69,0,0,0,0.28,0,0,0.28,0.28,0.28,0,0,0,0.28,0.28,0.56,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0,1.85,0,0,0,2.96,0,0.37,3.7,7.4,0.37,0,0.37,2.96,1.11,0,0,0.74,0,0.74,0,0,0,0,0.74,0,0.37,0,0.37,0,0,0.74
3Month,0.1,1.04,0.31,6.87,0.42,0.42,1.25,64.07,0,8.53,349.19,3.33,3.33,2.08,1.98,21.95,5.2,1.35,0,0.52,0.94,0.42,0.21,0.83,0,0.31,1.35,1.35,3.33,0.42,0,1.66,2.5,7.7
22Month,0,0.96,0,1.91,0.27,0.41,0.14,17.49,0.14,7.65,106.72,3.14,0.68,0.41,0.14,10.11,2.46,0.14,0.27,0.14,0,0,0,0.41,0.14,0,0,0,4.37,0.14,0,0,0,1.78
