stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,70,27,0,236,28,2,0,1,1,1,13,1,0,1,0,16,50,56,574,0,2,1,131,13639,2,0,0,89,1,0,4,0,0,38,0,0,0
72hpf,27.9,1.97,0,23.68,39.18,16.91,0,0,0,0.28,0,0.56,0,0.85,0,8.46,25.65,2.25,107.67,1.13,1.69,0,243.8,1625.42,0.56,25.37,0,88.5,1.69,0.56,366.68,0.85,0.85,7.89,0,0,0
21Day,4.81,2.59,1.11,15.91,6.29,10.73,0,2.22,0,0,0,1.11,0.37,3.33,1.48,1.48,4.81,4.44,21.09,0.37,1.85,0.37,41.07,551.28,0,8.88,0,11.47,12.58,0.37,122.84,0.37,3.7,3.33,0,0,2.59
3Month,0,0,0.1,2.18,0.31,0,0.1,0,0.1,0.42,0,1.77,0.52,0.31,0.62,0.1,0.31,0.94,0.21,0.1,0.42,0.1,0.31,2.6,1.14,1.14,0,0,0.42,31.73,0.42,0,0,0.83,0.31,1.77,0.42
22Month,0.27,0,0,2.19,1.23,0,0,0,0,0.68,0,4.24,0.14,0,0.68,0,0.27,1.37,0.82,0,0.27,0,0.14,2.32,2.05,7.93,0.27,0,0,12.44,2.6,0.55,0,0.55,0,0,0.14
