stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0,0,0.28,30.72,2.54,0,0.85,0,0.56,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0,5.18,0.37,0.37,0,1.48,0,0,0,0,0,1.11,0,0,0.74,0.74,1.48,0,0.74,0,10.36,1.85,0,0,0,0,0,0,0,0.37,0.37,0,0,0.74
3Month,0,0.73,0.62,6.55,0,0,0,0.42,1.66,1.04,0,4.47,0.83,0.42,1.46,0.31,1.77,1.04,0.94,0.1,0.94,0.1,0.31,0,0.73,0.1,0,0,0.31,3.95,0,0,0,0.52,1.25,1.77
22Month,0,0.41,0.41,2.05,0,0,0.14,0.14,0.96,0.55,0.41,7.65,0.14,0.41,1.5,0,0.27,1.91,1.09,0,0.27,0,0,0,1.23,0.14,0.14,0,0.27,0.55,0.27,0.14,0,0,0,0.68
