stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0
3Month,0,0.1,0,0.1,0.1,0,0,0,0,0,0.1
22Month,0.27,0.14,0.14,2.6,0.14,0,0.14,0.14,0,0.14,0
