stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.56,0,0.28,1.69,0,0.28,0,0.56,0,0
21Day,0.37,0.37,0.37,0.37,0,0.37,0.37,0,0.74,0,0.74,2.59,0,0,0,0,1.11,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.31,0,0,0.62
22Month,0,0,0,0,0.82,0,0,0.14,0,0.27,0,0,0,0,0,0,0,0
