stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,15,0,1,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0.28,0,0,0,0,0.85,0,1.69,0.28,0.28,2.54,4.23,0.28,1.41,0,0,0,0,0,0
21Day,0,0.37,0,0.37,1.48,0,0,0,0,0.37,0.37,0.74,0,0,1.11,2.22,0,0.74,0.74,0.37,0.37,0,0,0.37
3Month,0,0.31,0,0,0,0.1,0.52,0,0.21,0,0,0.21,0,0,0,0,0,0,0,0.62,0,0.1,0.31,0
22Month,0,0,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0
