stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,9,0,0,0,0,2,31,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,0.85,0.28,1.97,0,0.28,0,0,0,0,0,0,0.85,5.92,0,3.66,0,1.13,0,0,3.66,8.74,0.28,0,1.69,0,0,1.41,0.28,0,0.85,0,0,0
21Day,1.85,0,0,2.59,0.37,5.92,0,2.22,0,0.37,3.7,0.37,0.74,1.11,0.37,1.48,1.11,4.07,0,0,1.11,0,4.44,3.33,0,0,2.59,2.59,0.74,1.11,0.37,0.37,0,0,0,0.74
3Month,0.21,0.42,0.42,3.22,0.1,0,0.31,0.21,0.42,2.5,25.48,2.18,0.52,3.12,0.52,1.14,1.66,1.77,0.21,0,1.56,0.94,0.31,0,0.42,0,0.1,1.25,21.74,0.1,0,0,0.1,1.25,18.52,1.87
22Month,0,0.27,0,0.68,0,0,0,0.14,0.14,1.23,18.04,0.27,0.41,1.64,0,0.14,0.27,0.27,0,0.41,0.27,0,0.14,0.14,0.41,0.82,0,0.27,8.88,0.14,0,0,0.14,0,0,0.41
