stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,5,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,1.97,0,1.13,0,0,0,0,11.84,7.61,0,0,1.69,0,0,0.56,0.56,0,0,0,0
21Day,0,0.37,1.48,0,0,0,0,0,0,0,0.37,0,0.74,0.37,1.85,0,0,0,0,9.25,2.96,0,0.37,0.37,1.11,0,0.37,0,0.37,0,0,0
3Month,0,0.31,1.14,0,0,0.21,0.21,0,0.52,0.31,0,0.42,0.31,0.42,0.31,0.21,0,0.1,0.1,0.21,0,0.42,0,0,0.1,8.11,0,0,0,0.1,2.08,0.31
22Month,0,0,0.41,0,0.14,0.14,0.68,0,1.09,0.14,0.14,0.41,0.14,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0.27,0,0,0,0,0.14,0.14
