stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,1,0,0,0
72hpf,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,5.36,2.25,0,1.97,0,0.56,0
21Day,1.48,0.37,1.85,0,0.37,0,0,0.74,0.37,0,0.37,0,0.37,2.22,0.37,0,5.55,2.96,0.37,0.37,0,0,0
3Month,0,0,0.62,0,0,0.1,0.1,0.1,0,0.1,0,0.31,0,0,0,0.1,0.1,0,0,0,0.1,0,0.21
