stage,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,2.25,0,0.28,0
21Day,0,0.37,0,0,0,0,0,0
3Month,0,0,0.21,0.1,0.31,0.21,0,0.1
22Month,0.27,0,0,0,0,0,0,0.14
