stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,5.92,0,0,0,0,0,0,1.41,0,0,0.28,0,13.25,0.56,0,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,4.81,0,0,0,0,0,0.37,2.22,0,0.37,0.37,0,4.07,1.11,0,0,0,0,0.37,2.22,0,0,0,0.37,0
3Month,0.1,0.1,0.21,1.04,1.14,0.31,0.31,1.66,0.52,0.31,0.1,0.21,0.31,0.52,0,0.1,0.52,0.1,0.1,0.31,0,0,0.21,32.97,0.1,0,0.21,13.21,0.31
22Month,0,0.27,0,0,0.27,0,0.14,1.91,0.14,0.27,0,0,0,0.55,0,0,0.14,0,0,0.27,0.41,0,0.14,6.7,0,0,0,0.14,0
