stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,3.12,0.1,0.42,0,0.73,0.1,0.62,0.31,0.52,0.21,0.52,0.31,63.76,0.1,0.1,0.21,0.1,0.21
22Month,0.14,0.96,0,0,0.14,0.68,0,0,0.14,0,0.14,0,0,19.27,0,0,0,0,0.14
