stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.56,0,0,0,0,0,0,0,0,0,0.56,3.66,0,0.56,0,0,0,0.56,0,0.28,0.28,0,0,0,0,0,0
21Day,0.37,0,0.74,6.66,0,0.74,0,0,0,0,0.37,0,0,0,0.74,7.4,0.37,0.74,0,0,0,0.37,0.37,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0.1,0.1,13.94,0,0,0.1,7.07,0.1,0,3.22,0.52,0,1.77,0.73,10.19,0.62,0.62,0.1,0.62,0.21,0,0,0,0,0.31,1.56,0,0.1,2.39,0.42
22Month,0,0.14,0,0.96,0,0,0,0.82,0.14,0,5.33,0,0.14,0.55,0,0.55,0,0.27,0,0.14,0,0,0.14,0,0,0,0.27,0,0,0,0
