stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,0,1,67,0,0,0,0,0,0
72hpf,0.28,0,1.41,0.28,0.56,0,0,0,0,0.85,0,0.85,0.56,2.82,1.69,81.17,0,0.28,0.85,0,0
21Day,1.11,0.37,1.85,0,1.85,0.74,0.74,0.37,0.37,1.48,0.37,1.48,0,2.59,1.11,68.45,1.85,0,3.7,5.55,0.37
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0
