stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0
3Month,0.1,0.31,5.2,0.21,7.91,0.42,0,1.66,0.31,0.21,15.29,0.21,0.42,1.77,0.42,0.1,0,0.94,0.1,1.77,0.1,0,0.21,0.42,0.1,1.35
22Month,0,0,1.37,0,0.96,0.41,0,6.56,0.14,0.27,3.01,0,0.68,0.41,0,0,0.27,0.14,0,0.14,0.14,0,0,0,0,1.37
