stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,0,68,14,0,0,0,1,0,0,2,0,0,0,0,0,4,3,173,0,0,0,4,104,0,0,68,0,0,0,0,0,0,0,0,0
72hpf,100.34,15.22,0,64.26,26.78,3.95,0,0.28,0,0,0,0.28,0,0,0.28,0,1.97,20.57,0.28,76.66,0,1.41,0,25.37,23.96,2.54,0.28,66.8,0.28,0,2.54,0.28,0,0.28,0,0,0
21Day,46.25,21.09,0,116.18,11.1,7.03,0,1.11,0,0.37,0.37,0,1.11,0,1.85,0.74,1.85,10.36,2.22,119.14,0,3.33,0,9.62,5.55,3.7,0.37,37.74,6.66,0.74,1.11,0.74,3.33,1.11,0,0,0.37
3Month,1.35,36.72,0.31,58.35,3.64,0,0.21,0,0.31,0.52,0.42,0,2.91,0.73,0.21,2.08,1.25,24.24,1.25,7.28,0.21,0.73,0.1,0.21,0.31,1.87,0.21,0.21,0.83,1.87,0.1,0,0,0.31,3.64,2.08,0.62
22Month,0.55,22.55,0.14,8.47,1.78,0,0.27,0.14,0.14,1.64,0,0,3.83,0.55,0,1.23,0.41,1.5,0.55,2.46,0,0.55,0,0.14,0,1.78,0.41,0.14,0.14,2.32,0.14,0.14,0,0,0.27,0,0.27
