stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0.74,0,0,0,0,0
3Month,0.21,0.21,2.6,0.1,0.1,0.62,1.04,0,4.47,0.42,0.52,2.6,0.1,1.35,1.77,0.73,0.73,0,0.1,0.21,0.21,0,0.1,0,0,0.21,1.87,0,0.83,5.62
22Month,0.27,0,1.91,0,0,0.27,2.87,0.41,4.92,0.27,1.78,3.42,0,1.09,3.83,0.82,0,0.14,0.27,0,0.14,0,0.41,0,0,0,0.41,0.14,0,3.01
