stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,37,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,19.73,0,0.28,0,0,0.28,0,0,0,0,0,2.54,19.73,0,0.56,0,0,0,0.28,2.54,2.54,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,46.25,0.37,0.37,0,0,0,0,0,0,0,0,0,20.35,0.37,2.59,0,0,0.37,0,0.74,0.74,0,0,0.37,0.74,0,0,1.11,0,0,0,0
3Month,0,0,0.1,37.86,0,0,0,0.73,0.73,0,1.66,0.52,0.1,1.35,2.18,33.18,0.31,0.73,0.1,0,0,0.94,0,0,0.31,0,0.21,0.42,0.83,0,0,0,0.94,0.21,0.21
22Month,0.14,0.14,0.41,12.44,0,0,0.27,2.19,0.41,0.14,3.42,0.27,0,0.27,0.27,7.11,0,0.55,0,0.27,0,0.41,0,0,0,0.27,0,0,0.27,0.14,0,0,0,0,0
