stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,2.25,0,0
21Day,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,3.33,0,0.37
3Month,0.1,0.73,0,0.1,0.31,0.21,1.87,7.07,0.1,0.52,0.42,0.31,0.21,0.1,0,0.1,0,0.1,0.21,0.1,0.1,0.1,13.94,0,5.72,0.21
22Month,0,0.27,0.14,0,0,0.41,4.92,3.83,0.14,0.41,0.14,0.55,0.27,0,0.27,0,0,0,0,0,0.14,0,0.55,0.14,0,0
