stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0,0,0,0,0,1.11,0,1.11,0,0.37,0,0,0.37,0.74,0.37,0,0,0,0,0
3Month,0,0,1.04,0,0,0,0.1,0.1,1.04,0.42,0.1,0.52,0.21,0.1,0.31,0.31,0,0.1,0,0,0,0,0.1,4.47,0,0,0.62,0.1
22Month,0,0.14,0.27,0,0.14,0.14,0,0.27,4.51,0.14,0,0.27,0,0.14,0.14,0.55,0.14,0,0.14,0.14,0,0,0,1.37,0.14,0,0,0
