stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,2.59,0,0,0,1.11,0,0,2.59,0,0,1.48,0.37,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0,0,0.1,3.74,0.1,0,0.31,1.87,0.42,0.31,0.1,2.08,0.21,0.73,0.21,0.21,0,0.1,0.1,0,0,0.1,0,0,0.1,0.31
22Month,0,0.14,0.14,0.82,0.14,0.14,0,1.09,2.46,0.96,0,0.55,0.14,0.27,0.55,0.82,0.14,0,0,0,0,0,0.55,0.14,0,0.27
