stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0,0,21.7,0,0,0.85,0.56,2.25,3.1,0.28,4.79,0,0.85,0,0,0.56,0,0,9.02,0,0,0
21Day,0.37,0,0,1.11,0.37,0,0.37,0,0,0,0,0,0,1.11,0.37,0,11.84,0,0,0.37,0,0,1.11,0.37,5.18,0,0.37,0,0.74,0,0,0.37,6.29,0,0,0
3Month,0,0.21,0.1,5.72,0,0.1,0,1.46,0.31,0,6.87,0.42,0.73,0.1,0.73,0.31,1.66,0.1,0,0,0.1,0.1,0.1,1.35,4.16,0,0,0.42,11.55,0.1,0,0,0.1,0.21,16.75,0.52
22Month,0.14,0.14,0,5.47,0,0.27,0,1.5,0.27,1.23,38.26,0.55,1.23,0,0.14,0.82,0.68,0,0.55,0.14,0,0,0,0.68,6.7,0.14,0.14,0.14,1.78,0,0.14,0,0,0,0.14,0.41
