stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0.56,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,1.48,0.37,0.37,0,0.37,0,0,0,0.74,0,0,0.74,0,1.11,0,0.37,0.37,2.96,1.11,0.37,0.37,0.37,0,0,0,0,0.37,0,0
3Month,0,0,0,1.77,0,0,0.21,1.14,0.31,3.64,0.1,0,1.46,0,0.1,0.21,0.21,0,0.42,0,0.1,0,0.62,0,0,0,0.52,0,0,0.1,0.1,0.21
22Month,0.14,0.27,0.14,4.24,0,0,0,1.37,0,7.24,0.14,0,3.42,0,0.14,0,0.68,0,0.55,0,0.27,0,0.27,0.14,0,0.14,0,0.55,0.27,0,0,0.27
