stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.97,0.28,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0.37,0
3Month,0,0,0,0,0,0,0.31,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0,0.52
22Month,0,0.82,0,0.14,0.14,0.14,1.78,0,0.14,0,0,0.27,0.41,0,0,0,0,0
