stage,Endothelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0.28,0,0,0.56,0.28
21Day,0,0,0,0,0,0,0.37,0,0
22Month,0.14,0.14,0.41,1.37,0,0.14,0,0.41,0
