stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,3,0,0,9,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0.28,0,0,0,1.13,0.56,0.28,0.28,0,0,0
21Day,0,0.37,0.74,0.37,0,0.74,0.37,0.37,0,0.37,0.37,0,0.37,0,0,0.37
3Month,0,0.42,0,0.1,0.73,0.1,0,0.21,0.1,0,0,0,0,0.1,0.1,0
