stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0.28,1.13,0,0,0,0.56,0.56,0,0,0.85,0,0,0.56,0,0,0
21Day,0.74,0,0.37,1.11,0,0,0,0,0,0,0,0,0,0,1.11,0,1.48,0,0,0,0.37,0.37,0,0,1.11,1.11,0,0,0,0,0
3Month,0.1,0.62,0,2.39,0.1,0,0.31,1.14,0.1,3.54,1.66,0,0.83,0.1,0.52,2.29,2.91,0.94,0,0.31,0.31,0,0,0,0.1,0.21,0.42,0.1,0.62,0.1,2.29
22Month,0.14,0.68,0,2.19,0,0.14,0,2.05,0.14,11.07,0.96,0.41,1.23,0,0.14,1.37,4.1,0.27,0.27,0,0.27,0,0.14,0.14,0,0.27,0.14,0.27,0,0,1.09
