stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0,0.28,0.28,0
21Day,0.37,0.37,2.59,0,0,2.22,0,0,0,0,0
3Month,0,0,0.21,0.1,0.1,0,0.31,0.1,0,0,0.1
