stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0.37,0,0.74,0,0,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.42,0,5.3,0,0.1,0.42,1.77,0,5.82,1.14,0,1.77,0.31,2.29,0.83,1.77,0,0.1,0,0.21,0,0,0.21,0.21,0,0,0.1,2.29,0.1,0.52,1.35,0.62
22Month,0.14,1.37,0.14,5.19,1.78,0.68,0.14,9.84,0.14,40.04,9.57,2.6,0.14,0.27,2.05,5.47,6.56,0.27,3.42,0.82,0.14,0.41,0,0.68,0.96,0.14,0.27,0,0,0.27,0.14,0,1.09
