stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0.56,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.21,0.52,0,0.1,0.31,0,1.77,0.73,0.1,0.52,0.1,0.21,0.21,0.42,0.31,0,0,0.1,0,1.35,0,0,0,0.21,0.1,0,0.21,0.21
22Month,0.14,0.82,0.27,1.78,0.27,0.27,4.65,1.5,11.75,0.41,0,2.05,0.27,0.41,2.19,1.91,0,0.14,0.14,0,0.14,3.14,0.14,0,0.14,0.14,0.41,0.27,0,0.96
