stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
21Day,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0.37,0.37,0,0,0
3Month,1.87,1.25,0.42,0.42,0,0.94,0.21,0.1,3.85,0.1,0.31,0.21,0.62,0.1,0.1,0.21,0,0,0.42,0.1,0.1
22Month,0.14,0.14,0,0,0.14,1.64,0,0,2.73,0,0,0.14,0.27,0,0.14,0,0,0,0.27,0,0
