stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0.85,0.28,0,0.28,0
21Day,0,0,0.37,0,0,0.37,0.37,0,0.74,0,0,0,0
3Month,0.21,0,0,0,0.21,0.1,0,0,0.21,0,0.1,0,0.42
22Month,0,0,0,0.14,5.47,0,0,0.14,0,0,0,0,0
