stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.85,0.28,0,0.28,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,0,0
3Month,0,0.21,0,0,0,0.1,0,0,0,0.1,0.1,0.21
22Month,0.14,1.37,0.14,0.14,0.14,0,0,0,0.14,0,0,0
