stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,1.04,3.02,0.1,0.1,2.7,0.31,2.91,0.83,0,51.8,0.1,0.62,0.94,0.52,0,0.52,0.52,0,0.1,0.21,0.21,0.42,0,0.21,0.1,0.52
22Month,0.14,0.41,2.6,0.27,0,2.46,0.27,24.32,0,0.14,40.58,0.14,0,0.96,0.41,0.27,0.41,0.14,0,0.41,0.14,0.27,0.41,0,0,0,0.68
