stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0,2.25,0.28,0,0,0,0,0,0,0
21Day,1.11,0,0.37,0,0,0.37,0,0,0,0.74,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0.21,0.73,0.1,0.1,13.52,0.1,0.42,0.1,0.42,0.52,1.25,0.21,0.42,0.1,0,0,0.42,0,0.1,0.21,0,0.73,0.62
22Month,0,0.14,0,0,0,1.78,0.14,0.27,0,0.14,0.14,0.27,0.27,0,0,0,0,0,0.27,0,0,0,0,0
