stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,0,0.1,1.25,0.1,0,0.31,0.1,0.1,0,0,0,0,0.1,0,0,0.1,0.1
22Month,0.14,0.55,0,0.68,9.16,0.14,0.27,1.23,0,0.14,0.41,0.68,0.14,0.27,0,0.27,0.14,0,0
