stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,3,0,0,0,0,0,0,0,1,1,3,0,7,17,0,0,0,0,1,0,0,0,0,0
72hpf,1.13,0.56,0.28,0.28,0.28,0,0,0,0,0.28,0.56,0,1.69,0,4.51,4.51,0.28,1.97,0.28,0,0.28,0,0.56,0,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0,0,0,0,1.48,0.74,1.48,1.11,0,1.11,0,0,1.11,0.37,0,0,0,0
3Month,0,0.1,0.62,0,0,0,0.21,0.1,0.1,0.1,0.62,0,0.21,0,0,0,0,0,0,0.52,0,0,0,0,0.1,0.1
22Month,0,0.14,0.41,0,0,0.14,0.41,0,0,0,0,0.14,0.55,0.14,0,0,0,0,0,0,0,0,0,0.14,0,0
