stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0.28,0,0,0,6.76,0,0,0
21Day,0,0,0,0,0,0,0,0.74,0,0.37,1.11,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.21,0.73,0.31,0.1,1.25,4.06,0.52,0.1,0,25.07,0.73,0.52,0,0.31,0.1,0.1,0.1,0,0.1,0.21,0.1,7.8
22Month,0,0,0.14,0.27,0.14,2.6,0.27,0.14,0,0,8.75,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0.96
