stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.56,0.56,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0,0.37,0.74,0,0,0,0,0,0,0,0.37,0,0,0.74,0.37,1.48,0,0,0.37,0,0,0,0,0,0.37,0.37,1.11,0,0,0,0,0
3Month,0.1,0.52,2.5,0,1.46,0.73,2.39,0.1,7.7,0.94,0.83,1.35,0.42,0.42,1.04,4.26,0.62,0,0.42,0.52,0.21,0.1,0.21,0.31,0,0.31,54.61,0.1,0.1,0.21,55.55,2.81
22Month,0,0.68,0.82,0.41,0.27,0.27,0.27,0,13.53,0.41,0.55,0.68,0,0,0.41,3.42,0,0.68,0.14,0,0,0,0,0.41,0,0,4.24,0.27,0,0,0,0
