stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,2.25,0.85,0,0,0,0,0,0,0,0,0.56,1.41,0,2.25,0,0,0.28,12.12,3.38,0,0,0,1.41,0,0,1.41,0.28,0,0,0
21Day,0.74,0.37,0,4.44,1.85,0.37,0,0,0,0,0,0,0,0,1.85,2.59,0,3.7,0,0.37,1.85,19.98,1.48,0,0.37,0,2.96,0.74,0,0.74,0.37,0.74,0.37,0
3Month,0,0.94,0.1,3.02,2.39,0,0.1,0.1,0.94,1.87,0.1,3.33,1.14,1.04,0.21,1.14,1.04,8.84,7.8,0,0.1,3.12,0.1,0.62,0.21,0,0.21,0,0.62,0,0,0,0.1,0.1
22Month,0,0.82,0.14,4.24,0.41,0,0.14,0,1.09,6.7,0.82,18.04,0.82,1.37,0.14,0.41,1.78,5.47,0.14,0.41,0.41,1.64,0,0.41,0.14,0.14,0,0,0.14,0.68,0,0,0,0
