stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,1.97,0,0.28,0,0,7.33,7.89,0,0,0,1.69,0.28,0,0.85,0.28,0,0,0
21Day,2.96,0.37,0,5.92,0,2.59,0,0.37,0,0,0,0.37,0,1.48,0.37,0.37,2.22,0.74,4.07,0,0,0,0,3.7,3.33,0,0,0,1.85,1.11,0,1.85,0,0,0,0.74
3Month,0,0.52,0.1,3.43,0,0,0,0,0.73,0.52,0,13.31,0.73,0.1,2.18,0.42,0.94,1.04,2.18,0.21,0,0.21,0.73,0.62,0,0.52,0.21,0,0.1,0.21,4.58,0,0,0.42,3.33,0.52
22Month,0.14,0.68,0.41,1.91,0,0,0.14,0,0.14,1.09,0.27,35.94,0.14,0.14,1.5,0.41,0.41,1.37,1.23,0,0.55,0,0.14,0.14,0.14,0.55,0.14,0.14,0.14,0,0.14,0.27,0,0,0,0.41
