stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,1
72hpf,0.28,0.28,0,0,0,0.28,0,6.48,0.85
21Day,0,0.37,0,0,0,0,0,1.11,0.37
3Month,0.1,0,0.21,0,0,0,0,0,0
22Month,0,0,0,0.14,0.14,0,0.14,0,0
