stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0.28,1.97,1.69,0,0,0,0,0.28,0.85,0.28,0.56,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,2.22,0.37,0,0,0.37,0,0.37,1.85,4.44,0,0,0,0
3Month,0,0,0.21,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0,0,5.1,0,0.1,0,0,0.21,1.25,0.31
22Month,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0.27,0,0,0.82,0,1.78,0,0,0,0.14,0
