stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,8,32,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.28,0.85,0,0,0,0,0,0,2.25,0,0.85,0,0,0,84.27,7.61,0,0,1.13,0,0,1.69,0.28,0,0,0
21Day,0,0,0,1.48,0.74,0,0.37,0,0,0,0.37,0.37,0,2.22,0,0.37,0,32.56,4.81,0,0,3.7,2.59,0,0.37,0,0,0,0
3Month,0,0,0,0.31,0,0,0,0,0.1,0.42,0.1,0,0.1,2.29,0.73,0.1,0.21,0.31,0,0.42,0,0,0,1.66,0,0,0.1,0.1,0.1
22Month,0,0.27,0.14,0.68,0,0.14,0,0.27,0,1.64,0.14,0.14,0.27,1.5,0,0.27,0,0.14,0,0.14,0.27,0,0,0.14,0,0,0,0,0.14
