stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,160.37,0.28,0.85,0.28,1.13,0.56,0,0,0,0,0,0.28,1.41,0.28,1.41,0,0.28,14.37,4.23,0,0.56,1.41,0.85,0,0.56,0.28,0.28,0,0,0
21Day,131.72,0.37,1.48,0.37,0.37,0,0,1.11,0,0.74,0.37,0,0.74,0,4.07,0,2.59,4.07,0.37,0,0.37,1.85,0.74,0,0.37,0,0.74,0.37,0,0
3Month,2.7,0,0.21,0,0,0,0.83,0.1,0.21,0.1,0,0,0,0.1,0.21,0.1,0,0,0,0.21,0,0.1,0,1.14,0,0,0,0,0.21,1.77
22Month,0,0,0,0,0,0,0.27,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,1.23,0,0,0,0,0,0
