stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Nephron_cell
72hpf,0,0,0,0.28,0
21Day,0,0,0,1.48,0
22Month,0.14,0.27,0.14,0,0.14
