stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,1,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0.28,0,0,0,0,0,0.28,0.28,0,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0.37,0,0,0
3Month,0,0,0,0.1,0,0,0,0,0,0.31,0,0.1,0.1,0,0,0.42,0.62,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0.83,0,0,0,0.1,0
22Month,0.41,2.32,0.82,2.73,0,0.55,0.68,5.88,3.01,24.32,2.05,0.55,1.5,0.14,0.41,1.78,3.83,0,2.19,0.41,0,0.27,0,0.14,0.27,61.36,0.27,0,0.55,0.41,0,0.14,0,0.82
